lambda_,eta,pred_eta,det_t,det_W,frac_early,frac_peeled,mean_t,mean_W
0.008,0.0,0.04000000000000001,nan,nan,0.0,0.0,nan,nan
0.008,0.02,0.04000000000000001,nan,nan,0.0,0.0,nan,nan
0.008,0.035,0.04000000000000001,nan,nan,0.0,0.0,nan,nan
0.008,0.05,0.04000000000000001,nan,nan,0.0,0.0,nan,nan
0.008,0.07,0.04000000000000001,nan,nan,0.0,0.0,nan,nan
0.008,0.1,0.04000000000000001,nan,nan,0.0,0.0,nan,nan
0.008,0.14,0.04000000000000001,nan,nan,0.0,0.028,118.33414285714287,0.05332685714218942
0.008,0.2,0.04000000000000001,nan,nan,0.0,0.236,115.57571186440678,0.07539430508408011
0.016,0.0,0.06349604207872799,nan,nan,0.0,0.0,nan,nan
0.016,0.02,0.06349604207872799,nan,nan,0.0,0.0,nan,nan
0.016,0.035,0.06349604207872799,nan,nan,0.0,0.0,nan,nan
0.016,0.05,0.06349604207872799,nan,nan,0.0,0.0,nan,nan
0.016,0.07,0.06349604207872799,nan,nan,0.0,0.004,62.391999999999996,0.0017279999996608507
0.016,0.1,0.06349604207872799,nan,nan,0.0,0.038,61.99042105263157,0.008153263157555631
0.016,0.14,0.06349604207872799,nan,nan,0.0,0.124,61.604516129032255,0.014327741935144741
0.016,0.2,0.06349604207872799,nan,nan,0.0,0.354,60.55281355932203,0.0311549830505084
0.032,0.0,0.10079368399158986,nan,nan,0.0,0.0,nan,nan
0.032,0.02,0.10079368399158986,nan,nan,0.0,0.0,nan,nan
0.032,0.035,0.10079368399158986,nan,nan,0.0,0.0,nan,nan
0.032,0.05,0.10079368399158986,nan,nan,0.0,0.0,nan,nan
0.032,0.07,0.10079368399158986,nan,nan,0.0,0.0,nan,nan
0.032,0.1,0.10079368399158986,nan,nan,0.0,0.01,31.1132,0.004377600000321693
0.032,0.14,0.10079368399158986,nan,nan,0.0,0.038,30.814631578947367,0.013931789474006008
0.032,0.2,0.10079368399158986,nan,nan,0.0,0.14,30.505914285714283,0.023810742857464585
