lambda,eta,pred_eta,hit_prob,mean_t_hit,mean_W_hit,mean_V_hit,W_star,W_low,W_high,event_mode,peel_dist,W_cut,n,dt,T_run
0.008,0.0,0.04000000000000001,0.0,nan,nan,nan,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,800,0.002,145.0
0.008,0.02,0.04000000000000001,0.0,nan,nan,nan,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,800,0.002,145.0
0.008,0.035,0.04000000000000001,0.0,nan,nan,nan,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,800,0.002,145.0
0.008,0.05,0.04000000000000001,0.0,nan,nan,nan,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,800,0.002,145.0
0.008,0.07,0.04000000000000001,0.00125,122.2019999998966,0.02238399999933009,0.10077155175293133,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,800,0.002,145.0
0.008,0.1,0.04000000000000001,0.07,121.230357142756,0.0301571428564729,0.12505667796170375,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,800,0.002,145.0
0.008,0.14,0.04000000000000001,0.21375,120.10967251452139,0.03912261988237193,11696.053103587506,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,800,0.002,145.0
0.008,0.2,0.04000000000000001,0.565,118.73630973441796,0.05010952212322593,42035.604462319076,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,800,0.002,145.0
0.008,0.28,0.04000000000000001,0.81375,117.09698924722034,0.06322408602083908,267281.424611034,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,800,0.002,145.0
0.008,0.4,0.04000000000000001,0.9725,115.8143213366724,0.07348542930524758,618252.2931038185,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,800,0.002,145.0
0.008,0.6,0.04000000000000001,0.99875,115.07973216511971,0.07936214267768367,954943.7125576384,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,800,0.002,145.0
0.008,0.85,0.04000000000000001,1.0,114.99999999991338,0.07999999999933582,1000000.0,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,800,0.002,145.0
0.016,0.0,0.06349604207872799,0.0,nan,nan,nan,0.06349604207872799,0.03174802103936399,0.12699208415745597,window,0.05,0.02,800,0.002,82.5
0.016,0.02,0.06349604207872799,0.0,nan,nan,nan,0.06349604207872799,0.03174802103936399,0.12699208415745597,window,0.05,0.02,800,0.002,82.5
0.016,0.035,0.06349604207872799,0.0,nan,nan,nan,0.06349604207872799,0.03174802103936399,0.12699208415745597,window,0.05,0.02,800,0.002,82.5
0.016,0.05,0.06349604207872799,0.0,nan,nan,nan,0.06349604207872799,0.03174802103936399,0.12699208415745597,window,0.05,0.02,800,0.002,82.5
0.016,0.07,0.06349604207872799,0.0,nan,nan,nan,0.06349604207872799,0.03174802103936399,0.12699208415745597,window,0.05,0.02,800,0.002,82.5
0.016,0.1,0.06349604207872799,0.00875,59.90600000002725,0.04150399999966108,0.15287826161369428,0.06349604207872799,0.03174802103936399,0.12699208415745597,window,0.05,0.02,800,0.002,82.5
0.016,0.14,0.06349604207872799,0.05125,59.09878048783115,0.05441951219478252,0.18360134223020552,0.06349604207872799,0.03174802103936399,0.12699208415745597,window,0.05,0.02,800,0.002,82.5
0.016,0.2,0.06349604207872799,0.23375,58.38263101606817,0.06587790374297675,5347.811490762445,0.06349604207872799,0.03174802103936399,0.12699208415745597,window,0.05,0.02,800,0.002,82.5
0.016,0.28,0.06349604207872799,0.505,57.48245544556884,0.08028071287094957,37128.96759513037,0.06349604207872799,0.03174802103936399,0.12699208415745597,window,0.05,0.02,800,0.002,82.5
0.016,0.4,0.06349604207872799,0.83375,56.1986086956749,0.10082226086922964,284857.9874912959,0.06349604207872799,0.03174802103936399,0.12699208415745597,window,0.05,0.02,800,0.002,82.5
0.016,0.6,0.06349604207872799,0.975,55.015728205149486,0.1197483487176152,705129.0471662695,0.06349604207872799,0.03174802103936399,0.12699208415745597,window,0.05,0.02,800,0.002,82.5
0.016,0.85,0.06349604207872799,0.99875,54.611889862348704,0.1262097622024207,949937.4702910817,0.06349604207872799,0.03174802103936399,0.12699208415745597,window,0.05,0.02,800,0.002,82.5
0.032,0.0,0.10079368399158986,0.0,nan,nan,nan,0.10079368399158986,0.05039684199579493,0.20158736798317972,window,0.05,0.02,800,0.002,51.25
0.032,0.02,0.10079368399158986,0.0,nan,nan,nan,0.10079368399158986,0.05039684199579493,0.20158736798317972,window,0.05,0.02,800,0.002,51.25
0.032,0.035,0.10079368399158986,0.0,nan,nan,nan,0.10079368399158986,0.05039684199579493,0.20158736798317972,window,0.05,0.02,800,0.002,51.25
0.032,0.05,0.10079368399158986,0.0,nan,nan,nan,0.10079368399158986,0.05039684199579493,0.20158736798317972,window,0.05,0.02,800,0.002,51.25
0.032,0.07,0.10079368399158986,0.0,nan,nan,nan,0.10079368399158986,0.05039684199579493,0.20158736798317972,window,0.05,0.02,800,0.002,51.25
0.032,0.1,0.10079368399158986,0.0,nan,nan,nan,0.10079368399158986,0.05039684199579493,0.20158736798317972,window,0.05,0.02,800,0.002,51.25
0.032,0.14,0.10079368399158986,0.00125,29.273999999994654,0.06323200000032272,0.20606088740516312,0.10079368399158986,0.05039684199579493,0.20158736798317972,window,0.05,0.02,800,0.002,51.25
0.032,0.2,0.10079368399158986,0.04625,28.65778378377878,0.08295091891924004,0.2411088712541434,0.10079368399158986,0.05039684199579493,0.20158736798317972,window,0.05,0.02,800,0.002,51.25
0.032,0.28,0.10079368399158986,0.20125,28.190310559001464,0.09791006211212248,0.2652858074717692,0.10079368399158986,0.05039684199579493,0.20158736798317972,window,0.05,0.02,800,0.002,51.25
0.032,0.4,0.10079368399158986,0.54125,27.212956120088172,0.12918540415736599,39261.32573038335,0.10079368399158986,0.05039684199579493,0.20158736798317972,window,0.05,0.02,800,0.002,51.25
0.032,0.6,0.10079368399158986,0.86875,26.17926330934889,0.16226357410104397,326619.3557438485,0.10079368399158986,0.05039684199579493,0.20158736798317972,window,0.05,0.02,800,0.002,51.25
0.032,0.85,0.10079368399158986,0.98125,25.336155414009575,0.18924302675191887,697608.9519749929,0.10079368399158986,0.05039684199579493,0.20158736798317972,window,0.05,0.02,800,0.002,51.25
