lambda,eta,pred_eta,hit_prob,mean_t_hit,mean_W_hit,mean_V_hit,W_star,W_low,W_high,event_mode,peel_dist,W_cut,n,dt,T_run
0.004,0.0,0.02519842099789747,0.0,nan,nan,nan,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.02,0.02519842099789747,0.0,nan,nan,nan,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.035,0.02519842099789747,0.0,nan,nan,nan,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.05,0.02519842099789747,0.0006666666666666666,244.0960000004374,0.023615999999165686,0.11729479572674777,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.07,0.02519842099789747,0.017333333333333333,243.03461538504774,0.027861538460704712,0.12573784636903634,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.1,0.02519842099789747,0.15866666666666668,242.21152941219313,0.031153882352107864,8403.51315041662,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.14,0.02519842099789747,0.4186666666666667,240.76870700679092,0.03692517197368975,66879.16958988951,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.2,0.02519842099789747,0.754,239.19015207822127,0.04323939168793929,286472.38635648694,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.28,0.02519842099789747,0.9353333333333333,238.2262722741086,0.047094910904371935,627941.3199288772,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.4,0.02519842099789747,0.9993333333333333,237.5146177455695,0.049941529018515396,933288.988821448,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.6,0.02519842099789747,1.0,237.4020000004055,0.05039199999916921,1000000.0,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.85,0.02519842099789747,1.0,237.4020000004055,0.05039199999916921,1000000.0,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,1.1,0.02519842099789747,1.0,237.4020000004055,0.05039199999916921,1000000.0,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.006,0.0,0.033019272488946275,0.0,nan,nan,nan,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.02,0.033019272488946275,0.0,nan,nan,nan,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.035,0.033019272488946275,0.0,nan,nan,nan,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.05,0.033019272488946275,0.0,nan,nan,nan,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.07,0.033019272488946275,0.012,162.21222222226868,0.026726666665805213,0.123400379688194,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.1,0.033019272488946275,0.088,161.44840909095188,0.031309545453683876,0.13374906994557625,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.14,0.033019272488946275,0.31066666666666665,160.12982832621674,0.03922103004205616,21459.390347250308,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.2,0.033019272488946275,0.6586666666666666,158.52506072877375,0.048849635626666915,123481.98473765966,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.28,0.033019272488946275,0.8786666666666667,157.24330045525792,0.05654019726772428,368745.31718063017,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.4,0.033019272488946275,0.9866666666666667,156.07470945947662,0.06355174324237776,801351.4600089125,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.6,0.033019272488946275,1.0,155.6715466666819,0.06597071999913415,990666.6731560548,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.85,0.033019272488946275,1.0,155.6620000000152,0.06602799999913414,1000000.0,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,1.1,0.033019272488946275,1.0,155.6620000000152,0.06602799999913414,1000000.0,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.008,0.0,0.04000000000000001,0.0,nan,nan,nan,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.02,0.04000000000000001,0.0,nan,nan,nan,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.035,0.04000000000000001,0.0,nan,nan,nan,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.05,0.04000000000000001,0.0,nan,nan,nan,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.07,0.04000000000000001,0.004,121.48266666656495,0.028138666665996428,0.12775772586379272,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.1,0.04000000000000001,0.06066666666666667,120.93043956033914,0.0325564835158138,0.13661989212925002,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.14,0.04000000000000001,0.23733333333333334,119.91881460664351,0.04064948314539855,11236.111879241309,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.2,0.04000000000000001,0.5466666666666666,118.35172926819826,0.05318616585299102,56097.76816426594,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.28,0.04000000000000001,0.8146666666666667,117.07900163656976,0.06336798690604403,240589.78650028416,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.4,0.04000000000000001,0.9613333333333334,115.7287711510906,0.07416983078990372,631068.2016394153,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.6,0.04000000000000001,0.9993333333333333,115.05392928610406,0.07956856570980941,965977.7899212815,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.85,0.04000000000000001,1.0,114.99999999991338,0.0799999999993358,1000000.0,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,1.1,0.04000000000000001,1.0,114.99999999991338,0.0799999999993358,1000000.0,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.012,0.0,0.05241482788417794,0.0,nan,nan,nan,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
0.012,0.02,0.05241482788417794,0.0,nan,nan,nan,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
0.012,0.035,0.05241482788417794,0.0,nan,nan,nan,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
0.012,0.05,0.05241482788417794,0.0,nan,nan,nan,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
0.012,0.07,0.05241482788417794,0.0006666666666666666,80.54999999999367,0.03339999999927542,0.13893529668940618,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
0.012,0.1,0.05241482788417794,0.020666666666666667,80.4570322580584,0.03451561290250153,0.14115912507734021,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
0.012,0.14,0.05241482788417794,0.11866666666666667,79.54071910111963,0.04551137078579327,0.1612551834400781,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
0.012,0.2,0.05241482788417794,0.37733333333333335,78.4850070671363,0.05817991519362273,5300.55055769263,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
