deltaI,lambda,I,eps,sigma,n,frac_fired,frac_peeled,frac_early,mean_t_peel,mean_W_peel,mean_t_fire,det_t_peel,det_W_peel,pred_sigma,T_phys
0.01,0.008,0.3016666666666667,0.01,0.0,800,0.0,1.0,0.0,35.365,0.0003263341967434254,nan,35.365,0.0003263341967434253,0.005656854249492381,46.415888336127786
0.01,0.008,0.3016666666666667,0.01,0.006,800,0.2975,0.97375,0.215,34.98933247753531,0.00043379634100425556,43.021376050420166,35.365,0.0003263341967434253,0.005656854249492381,46.415888336127786
0.01,0.008,0.3016666666666667,0.01,0.01,800,0.42,0.91625,0.34125,33.05647339699863,0.0008432531566175182,41.370104166666664,35.365,0.0003263341967434253,0.005656854249492381,46.415888336127786
0.01,0.008,0.3016666666666667,0.01,0.014,800,0.4825,0.92,0.46875,30.18234375,0.004486317588620482,39.09068005181348,35.365,0.0003263341967434253,0.005656854249492381,46.415888336127786
0.01,0.008,0.3016666666666667,0.01,0.018,800,0.535,0.90875,0.58875,25.653751719394773,0.010067518811917139,37.24995911214954,35.365,0.0003263341967434253,0.005656854249492381,46.415888336127786
0.01,0.008,0.3016666666666667,0.01,0.024,800,0.635,0.925,0.71,20.189665540540542,0.019685347714003442,34.961215551181105,35.365,0.0003263341967434253,0.005656854249492381,46.415888336127786
0.01,0.008,0.3016666666666667,0.01,0.032,800,0.7,0.95625,0.78375,16.553787581699346,0.030337077659228398,32.74969196428572,35.365,0.0003263341967434253,0.005656854249492381,46.415888336127786
0.01,0.008,0.3016666666666667,0.01,0.045,800,0.8225,0.975,0.87,12.469743589743592,0.044021987185496284,28.660205167173253,35.365,0.0003263341967434253,0.005656854249492381,46.415888336127786
0.01,0.008,0.3016666666666667,0.01,0.06,800,0.8775,0.98,0.92125,9.284225127551021,0.0547012034408516,25.549943019943022,35.365,0.0003263341967434253,0.005656854249492381,46.415888336127786
0.01,0.008,0.3016666666666667,0.01,0.075,800,0.915,0.99,0.93875,7.41022095959596,0.06615801301781131,22.513353825136615,35.365,0.0003263341967434253,0.005656854249492381,46.415888336127786
0.01,0.008,0.3016666666666667,0.01,0.09,800,0.93875,0.99625,0.96375,5.981885194479298,0.07084153219104504,20.863265645805594,35.365,0.0003263341967434253,0.005656854249492381,46.415888336127786
0.01,0.008,0.3016666666666667,0.01,0.11,800,0.97125,0.995,0.97375,4.680056532663317,0.07646747013349431,18.7254407979408,35.365,0.0003263341967434253,0.005656854249492381,46.415888336127786
0.01,0.008,0.3016666666666667,0.015,0.0,800,0.0,1.0,0.0,28.712499999999995,0.00037313113858943996,nan,28.712500000000002,0.00037313113858944,0.00692820323027551,40.54801330382267
0.01,0.008,0.3016666666666667,0.015,0.006,800,0.22375,0.99625,0.14375,28.607688205771645,0.00046718871293620215,37.97632681564246,28.712500000000002,0.00037313113858944,0.00692820323027551,40.54801330382267
0.01,0.008,0.3016666666666667,0.015,0.01,800,0.3525,0.95625,0.31375,27.955022875816994,0.0005259033071197988,36.147774822695034,28.712500000000002,0.00037313113858944,0.00692820323027551,40.54801330382267
0.01,0.008,0.3016666666666667,0.015,0.014,800,0.43625,0.93875,0.43875,26.249484021304927,0.0016253091749595142,34.69758595988539,28.712500000000002,0.00037313113858944,0.00692820323027551,40.54801330382267
0.01,0.008,0.3016666666666667,0.015,0.018,800,0.49875,0.93875,0.52125,24.39451398135819,0.003742524445192457,33.51086466165414,28.712500000000002,0.00037313113858944,0.00692820323027551,40.54801330382267
0.01,0.008,0.3016666666666667,0.015,0.024,800,0.5925,0.93875,0.585,21.47639813581891,0.00817712428803859,31.739240506329118,28.712500000000002,0.00037313113858944,0.00692820323027551,40.54801330382267
0.01,0.008,0.3016666666666667,0.015,0.032,800,0.6375,0.9575,0.71125,17.449304830287204,0.018761487294556806,29.32404411764706,28.712500000000002,0.00037313113858944,0.00692820323027551,40.54801330382267
0.01,0.008,0.3016666666666667,0.015,0.045,800,0.7575,0.97125,0.80375,13.484459459459458,0.03180997271795266,26.760676567656766,28.712500000000002,0.00037313113858944,0.00692820323027551,40.54801330382267
0.01,0.008,0.3016666666666667,0.015,0.06,800,0.82875,0.98375,0.90125,9.2862166454892,0.048434635858013754,23.989185520361993,28.712500000000002,0.00037313113858944,0.00692820323027551,40.54801330382267
0.01,0.008,0.3016666666666667,0.015,0.075,800,0.88625,0.98875,0.8925,8.552996207332491,0.05281815385254248,22.407450634696758,28.712500000000002,0.00037313113858944,0.00692820323027551,40.54801330382267
0.01,0.008,0.3016666666666667,0.015,0.09,800,0.92625,0.99125,0.9175,7.151040353089533,0.05829728168529062,20.61873819163293,28.712500000000002,0.00037313113858944,0.00692820323027551,40.54801330382267
0.01,0.008,0.3016666666666667,0.015,0.11,800,0.9525,0.9975,0.95625,5.768054511278196,0.0648750103048115,18.42452099737533,28.712500000000002,0.00037313113858944,0.00692820323027551,40.54801330382267
0.01,0.008,0.3016666666666667,0.02,0.0,800,0.0,1.0,0.0,24.77,0.0004851290314965145,nan,24.77,0.00048512903149651443,0.008000000000000002,36.84031498640386
0.01,0.008,0.3016666666666667,0.02,0.006,800,0.1375,0.99875,0.1025,24.85979662077597,0.0005206568846100654,34.58052272727273,24.77,0.00048512903149651443,0.008000000000000002,36.84031498640386
0.01,0.008,0.3016666666666667,0.02,0.01,800,0.28625,0.98125,0.24,24.679133757961786,0.0005845480120224368,33.0846288209607,24.77,0.00048512903149651443,0.008000000000000002,36.84031498640386
0.01,0.008,0.3016666666666667,0.02,0.014,800,0.4075,0.95625,0.34875,23.849813725490193,0.0009277276277756619,31.54490797546012,24.77,0.00048512903149651443,0.008000000000000002,36.84031498640386
0.01,0.008,0.3016666666666667,0.02,0.018,800,0.465,0.955,0.405,23.018835078534032,0.0015504409480710196,30.571754032258063,24.77,0.00048512903149651443,0.008000000000000002,36.84031498640386
0.01,0.008,0.3016666666666667,0.02,0.024,800,0.55125,0.9625,0.5325,20.417912337662337,0.005184030610525569,29.289455782312928,24.77,0.00048512903149651443,0.008000000000000002,36.84031498640386
0.01,0.008,0.3016666666666667,0.02,0.032,800,0.64,0.9425,0.63375,17.231518567639256,0.011348328419126856,27.363857421875,24.77,0.00048512903149651443,0.008000000000000002,36.84031498640386
0.01,0.008,0.3016666666666667,0.02,0.045,800,0.7425,0.965,0.755,13.63470207253886,0.02487793728513538,25.08815235690236,24.77,0.00048512903149651443,0.008000000000000002,36.84031498640386
0.01,0.008,0.3016666666666667,0.02,0.06,800,0.81625,0.985,0.85375,10.428137690355332,0.035687074279516645,22.76289816232772,24.77,0.00048512903149651443,0.008000000000000002,36.84031498640386
0.01,0.008,0.3016666666666667,0.02,0.075,800,0.8525,0.98375,0.8775,8.668973951715374,0.046075363319628485,21.312994868035194,24.77,0.00048512903149651443,0.008000000000000002,36.84031498640386
0.01,0.008,0.3016666666666667,0.02,0.09,800,0.9075,0.99125,0.92,7.124791929382095,0.0514747507435292,19.33086776859504,24.77,0.00048512903149651443,0.008000000000000002,36.84031498640386
0.01,0.008,0.3016666666666667,0.02,0.11,800,0.9375,0.99625,0.9425,6.065577164366373,0.05790973278930278,18.110066666666665,24.77,0.00048512903149651443,0.008000000000000002,36.84031498640386
0.01,0.008,0.3016666666666667,0.03,0.0,800,0.0,1.0,0.0,20.115000000000006,0.0005456112784984082,nan,20.115000000000002,0.0005456112784984084,0.009797958971132713,32.18297948685432
0.01,0.008,0.3016666666666667,0.03,0.006,800,0.0,1.0,0.06,20.202671875,0.0006312152404949261,nan,20.115000000000002,0.0005456112784984084,0.009797958971132713,32.18297948685432
0.01,0.008,0.3016666666666667,0.03,0.01,800,0.15875,0.99875,0.19875,20.16883291614518,0.0007694353701476869,29.126437007874014,20.115000000000002,0.0005456112784984084,0.009797958971132713,32.18297948685432
0.01,0.008,0.3016666666666667,0.03,0.014,800,0.2775,0.985,0.28,20.00466687817259,0.0007939788556525952,28.07033783783784,20.115000000000002,0.0005456112784984084,0.009797958971132713,32.18297948685432
