deltaI,lambda,I,eps,sigma50,pred_sigma,n_sigma_points
0.01,0.008,0.3016666666666667,0.01,0.015041666666666667,0.005656854249492381,12
0.01,0.008,0.3016666666666667,0.015,0.016969696969696968,0.00692820323027551,12
0.01,0.008,0.3016666666666667,0.02,0.022470588235294117,0.008000000000000002,12
0.01,0.008,0.3016666666666667,0.03,0.02902857142857143,0.009797958971132713,12
0.01,0.008,0.3016666666666667,0.04,0.03192307692307693,0.011313708498984762,12
0.01,0.008,0.3016666666666667,0.06,0.0404051724137931,0.01385640646055102,12
0.01,0.008,0.3016666666666667,0.08,0.051448598130841114,0.016000000000000004,12
0.02,0.016,0.3116666666666667,0.01,0.017584415584415584,0.008979696386474985,12
0.02,0.016,0.3116666666666667,0.015,0.02298795180722892,0.010997837095988823,12
0.02,0.016,0.3116666666666667,0.02,0.027304347826086955,0.012699208415745598,12
0.02,0.016,0.3116666666666667,0.03,0.03510091743119266,0.015553290377917325,12
0.02,0.016,0.3116666666666667,0.04,0.04130526315789474,0.01795939277294997,12
0.02,0.016,0.3116666666666667,0.06,0.05380434782608695,0.021995674191977645,12
0.02,0.016,0.3116666666666667,0.08,0.06458823529411764,0.025398416831491195,12
0.04,0.032,0.33166666666666667,0.01,0.021636363636363638,0.01425437949024543,12
0.04,0.032,0.33166666666666667,0.015,0.0284031007751938,0.017457978175547544,12
0.04,0.032,0.33166666666666667,0.02,0.03141818181818182,0.020158736798317974,12
0.04,0.032,0.33166666666666667,0.03,0.04320689655172413,0.024689309507472838,12
0.04,0.032,0.33166666666666667,0.04,0.04824742268041237,0.02850875898049086,12
0.04,0.032,0.33166666666666667,0.06,0.05761061946902655,0.03491595635109509,12
0.04,0.032,0.33166666666666667,0.08,0.07339285714285715,0.04031747359663595,12
