q,window_lo,window_hi,lambda,eta,hit_prob,W_star,W_lo,W_hi,n
0.5,0.5,2.0,0.004,0.0,0.0,0.02519842099789747,0.012599210498948734,0.05039684199579494,2000
0.5,0.5,2.0,0.004,0.02,0.0,0.02519842099789747,0.012599210498948734,0.05039684199579494,2000
0.5,0.5,2.0,0.004,0.035,0.0,0.02519842099789747,0.012599210498948734,0.05039684199579494,2000
0.5,0.5,2.0,0.004,0.05,0.008,0.02519842099789747,0.012599210498948734,0.05039684199579494,2000
0.5,0.5,2.0,0.004,0.07,0.0825,0.02519842099789747,0.012599210498948734,0.05039684199579494,2000
0.5,0.5,2.0,0.004,0.1,0.322,0.02519842099789747,0.012599210498948734,0.05039684199579494,2000
0.5,0.5,2.0,0.004,0.14,0.612,0.02519842099789747,0.012599210498948734,0.05039684199579494,2000
0.5,0.5,2.0,0.004,0.2,0.874,0.02519842099789747,0.012599210498948734,0.05039684199579494,2000
0.5,0.5,2.0,0.004,0.28,0.973,0.02519842099789747,0.012599210498948734,0.05039684199579494,2000
0.5,0.5,2.0,0.004,0.4,0.997,0.02519842099789747,0.012599210498948734,0.05039684199579494,2000
0.5,0.5,2.0,0.004,0.6,1.0,0.02519842099789747,0.012599210498948734,0.05039684199579494,2000
0.5,0.5,2.0,0.004,0.85,1.0,0.02519842099789747,0.012599210498948734,0.05039684199579494,2000
0.5,0.5,2.0,0.004,1.1,1.0,0.02519842099789747,0.012599210498948734,0.05039684199579494,2000
0.5,0.5,2.0,0.006,0.0,0.0,0.033019272488946275,0.016509636244473137,0.06603854497789255,2000
0.5,0.5,2.0,0.006,0.02,0.0,0.033019272488946275,0.016509636244473137,0.06603854497789255,2000
0.5,0.5,2.0,0.006,0.035,0.0,0.033019272488946275,0.016509636244473137,0.06603854497789255,2000
0.5,0.5,2.0,0.006,0.05,0.0015,0.033019272488946275,0.016509636244473137,0.06603854497789255,2000
0.5,0.5,2.0,0.006,0.07,0.024,0.033019272488946275,0.016509636244473137,0.06603854497789255,2000
0.5,0.5,2.0,0.006,0.1,0.1625,0.033019272488946275,0.016509636244473137,0.06603854497789255,2000
