q,window_lo,window_hi,lambda,eta50,W_star,W_lo,W_hi
0.5,0.25,2.0,0.004,0.10813688212927758,0.02519842099789747,0.006299605249474367,0.05039684199579494
0.5,0.25,2.0,0.006,0.13345454545454546,0.033019272488946275,0.008254818122236569,0.06603854497789255
0.5,0.25,2.0,0.008,0.1551923076923077,0.04000000000000001,0.010000000000000002,0.08000000000000002
0.5,0.25,2.0,0.012,0.18861736334405144,0.05241482788417794,0.013103706971044486,0.10482965576835589
0.5,0.25,2.0,0.016,0.2207612456747405,0.06349604207872799,0.015874010519681996,0.12699208415745597
0.5,0.25,2.0,0.024,0.26413675213675214,0.08320335292207617,0.020800838230519043,0.16640670584415235
0.5,0.25,2.0,0.032,0.3132459016393443,0.10079368399158986,0.025198420997897465,0.20158736798317972
0.5,0.25,2.0,0.048,0.38292051756007395,0.13207708995578507,0.03301927248894627,0.26415417991157014
0.5,0.25,2.0,0.064,0.4436065573770492,0.16000000000000003,0.04000000000000001,0.32000000000000006
0.5,0.5,2.0,0.004,0.12455172413793104,0.02519842099789747,0.012599210498948734,0.05039684199579494
0.5,0.5,2.0,0.006,0.1536977491961415,0.033019272488946275,0.016509636244473137,0.06603854497789255
0.5,0.5,2.0,0.008,0.17614334470989762,0.04000000000000001,0.020000000000000004,0.08000000000000002
0.5,0.5,2.0,0.012,0.215368782161235,0.05241482788417794,0.02620741394208897,0.10482965576835589
0.5,0.5,2.0,0.016,0.24751677852348997,0.06349604207872799,0.03174802103936399,0.12699208415745597
0.5,0.5,2.0,0.024,0.3040394088669951,0.08320335292207617,0.04160167646103809,0.16640670584415235
0.5,0.5,2.0,0.032,0.35000000000000003,0.10079368399158986,0.05039684199579493,0.20158736798317972
0.5,0.5,2.0,0.048,0.4375533428165007,0.13207708995578507,0.06603854497789254,0.26415417991157014
0.5,0.5,2.0,0.064,0.5006877579092159,0.16000000000000003,0.08000000000000002,0.32000000000000006
0.5,0.5,3.0,0.004,0.12070796460176993,0.02519842099789747,0.012599210498948734,0.0755952629936924
0.5,0.5,3.0,0.006,0.14608294930875576,0.033019272488946275,0.016509636244473137,0.09905781746683882
0.5,0.5,3.0,0.008,0.16995461422087746,0.04000000000000001,0.020000000000000004,0.12000000000000002
0.5,0.5,3.0,0.012,0.2,0.05241482788417794,0.02620741394208897,0.15724448365253382
0.5,0.5,3.0,0.016,0.24006279434850863,0.06349604207872799,0.03174802103936399,0.19048812623618394
0.5,0.5,3.0,0.024,0.2982414307004471,0.08320335292207617,0.04160167646103809,0.24961005876622852
0.5,0.5,3.0,0.032,0.33965811965811965,0.10079368399158986,0.05039684199579493,0.3023810519747696
0.5,0.5,3.0,0.048,0.4230769230769231,0.13207708995578507,0.06603854497789254,0.39623126986735524
0.5,0.5,3.0,0.064,0.489572192513369,0.16000000000000003,0.08000000000000002,0.4800000000000001
0.75,0.25,2.0,0.004,0.12084507042253523,0.02519842099789747,0.006299605249474367,0.05039684199579494
0.75,0.25,2.0,0.006,0.14908759124087592,0.033019272488946275,0.008254818122236569,0.06603854497789255
0.75,0.25,2.0,0.008,0.17010204081632654,0.04000000000000001,0.010000000000000002,0.08000000000000002
0.75,0.25,2.0,0.012,0.21060773480662984,0.05241482788417794,0.013103706971044486,0.10482965576835589
0.75,0.25,2.0,0.016,0.23993495934959352,0.06349604207872799,0.015874010519681996,0.12699208415745597
0.75,0.25,2.0,0.024,0.29855670103092785,0.08320335292207617,0.020800838230519043,0.16640670584415235
0.75,0.25,2.0,0.032,0.3404709576138148,0.10079368399158986,0.025198420997897465,0.20158736798317972
0.75,0.25,2.0,0.048,0.4154069767441861,0.13207708995578507,0.03301927248894627,0.26415417991157014
0.75,0.25,2.0,0.064,0.48604992657856094,0.16000000000000003,0.04000000000000001,0.32000000000000006
0.75,0.5,2.0,0.004,0.13285223367697596,0.02519842099789747,0.012599210498948734,0.05039684199579494
0.75,0.5,2.0,0.006,0.1667873303167421,0.033019272488946275,0.016509636244473137,0.06603854497789255
0.75,0.5,2.0,0.008,0.19236180904522612,0.04000000000000001,0.020000000000000004,0.08000000000000002
0.75,0.5,2.0,0.012,0.24000000000000002,0.05241482788417794,0.02620741394208897,0.10482965576835589
0.75,0.5,2.0,0.016,0.2688403361344538,0.06349604207872799,0.03174802103936399,0.12699208415745597
0.75,0.5,2.0,0.024,0.33718750000000003,0.08320335292207617,0.04160167646103809,0.16640670584415235
0.75,0.5,2.0,0.032,0.3839464882943144,0.10079368399158986,0.05039684199579493,0.20158736798317972
0.75,0.5,2.0,0.048,0.48,0.13207708995578507,0.06603854497789254,0.26415417991157014
0.75,0.5,2.0,0.064,0.5392405063291139,0.16000000000000003,0.08000000000000002,0.32000000000000006
0.75,0.5,3.0,0.004,0.1316332378223496,0.02519842099789747,0.012599210498948734,0.0755952629936924
0.75,0.5,3.0,0.006,0.16381250000000003,0.033019272488946275,0.016509636244473137,0.09905781746683882
0.75,0.5,3.0,0.008,0.18935483870967743,0.04000000000000001,0.020000000000000004,0.12000000000000002
0.75,0.5,3.0,0.012,0.23291056910569108,0.05241482788417794,0.02620741394208897,0.15724448365253382
0.75,0.5,3.0,0.016,0.26662295081967213,0.06349604207872799,0.03174802103936399,0.19048812623618394
0.75,0.5,3.0,0.024,0.3314027149321267,0.08320335292207617,0.04160167646103809,0.24961005876622852
0.75,0.5,3.0,0.032,0.3744378698224853,0.10079368399158986,0.05039684199579493,0.3023810519747696
0.75,0.5,3.0,0.048,0.464247311827957,0.13207708995578507,0.06603854497789254,0.39623126986735524
0.75,0.5,3.0,0.064,0.5327935222672064,0.16000000000000003,0.08000000000000002,0.4800000000000001
0.9,0.25,2.0,0.004,0.1264748201438849,0.02519842099789747,0.006299605249474367,0.05039684199579494
0.9,0.25,2.0,0.006,0.15461669505962522,0.033019272488946275,0.008254818122236569,0.06603854497789255
0.9,0.25,2.0,0.008,0.18,0.04000000000000001,0.010000000000000002,0.08000000000000002
0.9,0.25,2.0,0.012,0.2165818181818182,0.05241482788417794,0.013103706971044486,0.10482965576835589
0.9,0.25,2.0,0.016,0.24797178130511466,0.06349604207872799,0.015874010519681996,0.12699208415745597
0.9,0.25,2.0,0.024,0.3120979020979021,0.08320335292207617,0.020800838230519043,0.16640670584415235
0.9,0.25,2.0,0.032,0.3565957446808511,0.10079368399158986,0.025198420997897465,0.20158736798317972
0.9,0.25,2.0,0.048,0.4386123680241327,0.13207708995578507,0.03301927248894627,0.26415417991157014
0.9,0.25,2.0,0.064,0.5048991354466859,0.16000000000000003,0.04000000000000001,0.32000000000000006
0.9,0.5,2.0,0.004,0.14089700996677743,0.02519842099789747,0.012599210498948734,0.05039684199579494
0.9,0.5,2.0,0.006,0.17413654618473895,0.033019272488946275,0.016509636244473137,0.06603854497789255
0.9,0.5,2.0,0.008,0.19732718894009219,0.04000000000000001,0.020000000000000004,0.08000000000000002
0.9,0.5,2.0,0.012,0.24775086505190314,0.05241482788417794,0.02620741394208897,0.10482965576835589
0.9,0.5,2.0,0.016,0.2833830845771145,0.06349604207872799,0.03174802103936399,0.12699208415745597
0.9,0.5,2.0,0.024,0.34872563718140936,0.08320335292207617,0.04160167646103809,0.16640670584415235
0.9,0.5,2.0,0.032,0.40059084194977845,0.10079368399158986,0.05039684199579493,0.20158736798317972
0.9,0.5,2.0,0.048,0.4945454545454545,0.13207708995578507,0.06603854497789254,0.26415417991157014
0.9,0.5,2.0,0.064,0.5703170028818444,0.16000000000000003,0.08000000000000002,0.32000000000000006
0.9,0.5,3.0,0.004,0.1395897435897436,0.02519842099789747,0.012599210498948734,0.0755952629936924
0.9,0.5,3.0,0.006,0.17197014925373136,0.033019272488946275,0.016509636244473137,0.09905781746683882
