q,window_lo,window_hi,fit,C,beta,r2,n_fit
0.5,0.25,2.0,all,1.7842273785885645,0.5071754101961005,0.999719671179967,9
0.5,0.25,2.0,range,1.7787258400843697,0.5063067473296265,0.9994148672747896,7
0.5,0.5,2.0,all,1.9816140250315657,0.5012824702746224,0.999803633223721,9
0.5,0.5,2.0,range,2.0062524508100776,0.5048979283553789,0.9997226749806644,7
0.5,0.5,3.0,all,1.9673538450151797,0.5083910502226062,0.9989657625248093,9
0.5,0.5,3.0,range,2.027302583005724,0.5169990319291904,0.9984642114390556,7
0.75,0.25,2.0,all,1.905220013799613,0.49918989943807707,0.9998118463613536,9
0.75,0.25,2.0,range,1.9154744305213323,0.5007851181988002,0.9996592691717855,7
0.75,0.5,2.0,all,2.1980246292413796,0.505196754957128,0.9992327383245092,9
0.75,0.5,2.0,range,2.1499167868899347,0.4989116121326274,0.9988668798614048,7
0.75,0.5,3.0,all,2.128657880430931,0.5019628979297478,0.9997222636108892,9
0.75,0.5,3.0,range,2.0939887209405565,0.4972903962386532,0.9996716104126646,7
0.9,0.25,2.0,all,1.9952112204242691,0.5000798615433055,0.9996801836962864,9
0.9,0.25,2.0,range,2.0074136634661492,0.5018351546598423,0.9993440249829233,7
0.9,0.5,2.0,all,2.2823113749755137,0.5042458731990924,0.9998111690607333,9
0.9,0.5,2.0,range,2.299956107825499,0.5065152812241841,0.9996763344682865,7
0.9,0.5,3.0,all,2.234318330812554,0.5024524644275601,0.9996989441933276,9
0.9,0.5,3.0,range,2.2585613786429324,0.5056033442866035,0.9994577021135957,7
