a,b,I_fold_left,I,delta_I,lambda,epsilon,sigma,q,window_lo,window_hi,hit_prob,n,W_star,W_lo,W_hi,v_start,w_start,scale_half,scale_twothirds,scale_eps34
0.7,0.8,0.55,0.56,0.01,0.008,0.01,0.0,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1195158086919386,-0.09181358239910568,0.0,0.0,0.0
0.7,0.8,0.55,0.56,0.01,0.008,0.01,0.003130495168499705,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1195158086919386,-0.09181358239910568,0.3499999999999999,0.782623792124926,0.09899494936611665
0.7,0.8,0.55,0.56,0.01,0.008,0.01,0.00447213595499958,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1195158086919386,-0.09181358239910568,0.5,1.1180339887498947,0.14142135623730953
0.7,0.8,0.55,0.56,0.01,0.008,0.01,0.00626099033699941,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1195158086919386,-0.09181358239910568,0.6999999999999998,1.565247584249852,0.1979898987322333
0.7,0.8,0.55,0.56,0.01,0.008,0.01,0.008049844718999244,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1195158086919386,-0.09181358239910568,0.9,2.0124611797498106,0.25455844122715715
0.7,0.8,0.55,0.56,0.01,0.008,0.01,0.009838699100999077,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1195158086919386,-0.09181358239910568,1.1,2.4596747752497685,0.311126983722081
0.7,0.8,0.55,0.56,0.01,0.008,0.01,0.011627553482998907,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1195158086919386,-0.09181358239910568,1.3,2.906888370749726,0.36769552621700474
0.7,0.8,0.55,0.56,0.01,0.008,0.01,0.014310835055998656,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1195158086919386,-0.09181358239910568,1.6,3.5777087639996634,0.45254833995939053
0.7,0.8,0.55,0.56,0.01,0.008,0.01,0.01788854381999832,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1195158086919386,-0.09181358239910568,2.0,4.472135954999579,0.5656854249492381
0.7,0.8,0.55,0.56,0.01,0.008,0.01,0.022360679774997897,0.75,0.5,2.0,0.002,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1195158086919386,-0.09181358239910568,2.5,5.590169943749473,0.7071067811865476
0.7,0.8,0.55,0.56,0.01,0.008,0.01,0.026832815729997482,0.75,0.5,2.0,0.007,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1195158086919386,-0.09181358239910568,3.0000000000000004,6.7082039324993685,0.8485281374238572
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.01,0.0,0.75,0.5,2.0,0.0,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.1498535718913978,-0.07308886507536809,0.0,0.0,0.0
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.01,0.004427188724235731,0.75,0.5,2.0,0.0,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.1498535718913978,-0.07308886507536809,0.35,0.6972385331902281,0.13999999999999999
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.01,0.006324555320336759,0.75,0.5,2.0,0.0,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.1498535718913978,-0.07308886507536809,0.5,0.9960550474146117,0.2
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.01,0.008854377448471461,0.75,0.5,2.0,0.0,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.1498535718913978,-0.07308886507536809,0.7,1.3944770663804562,0.27999999999999997
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.01,0.011384199576606167,0.75,0.5,2.0,0.0,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.1498535718913978,-0.07308886507536809,0.9,1.7928990853463012,0.36000000000000004
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.01,0.01391402170474087,0.75,0.5,2.0,0.0,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.1498535718913978,-0.07308886507536809,1.1,2.191321104312146,0.44000000000000006
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.01,0.016443843832875574,0.75,0.5,2.0,0.0,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.1498535718913978,-0.07308886507536809,1.3,2.589743123277991,0.52
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.01,0.02023857702507763,0.75,0.5,2.0,0.0,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.1498535718913978,-0.07308886507536809,1.6000000000000003,3.1873761517267583,0.6400000000000001
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.01,0.025298221281347035,0.75,0.5,2.0,0.0,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.1498535718913978,-0.07308886507536809,2.0,3.984220189658447,0.8
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.01,0.03162277660168379,0.75,0.5,2.0,0.01,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.1498535718913978,-0.07308886507536809,2.5,4.980275237073058,1.0
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.01,0.03794733192202056,0.75,0.5,2.0,0.034,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.1498535718913978,-0.07308886507536809,3.0000000000000004,5.976330284487672,1.2000000000000002
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.01,0.0,0.75,0.5,2.0,0.0,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.1876801091669187,-0.03923923961754186,0.0,0.0,0.0
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.01,0.00626099033699941,0.75,0.5,2.0,0.0,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.1876801091669187,-0.03923923961754186,0.3499999999999999,0.6211689154572246,0.1979898987322333
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.01,0.00894427190999916,0.75,0.5,2.0,0.0,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.1876801091669187,-0.03923923961754186,0.5,0.8873841649388925,0.28284271247461906
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.01,0.01252198067399882,0.75,0.5,2.0,0.0,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.1876801091669187,-0.03923923961754186,0.6999999999999998,1.2423378309144493,0.3959797974644666
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.01,0.01609968943799849,0.75,0.5,2.0,0.0,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.1876801091669187,-0.03923923961754186,0.9,1.5972914968900067,0.5091168824543143
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.01,0.019677398201998153,0.75,0.5,2.0,0.0,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.1876801091669187,-0.03923923961754186,1.1,1.9522451628655637,0.622253967444162
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.01,0.023255106965997814,0.75,0.5,2.0,0.0,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.1876801091669187,-0.03923923961754186,1.3,2.3071988288411203,0.7353910524340095
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.01,0.028621670111997313,0.75,0.5,2.0,0.003,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.1876801091669187,-0.03923923961754186,1.6,2.8396293278044564,0.9050966799187811
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.01,0.03577708763999664,0.75,0.5,2.0,0.008,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.1876801091669187,-0.03923923961754186,2.0,3.54953665975557,1.1313708498984762
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.01,0.044721359549995794,0.75,0.5,2.0,0.041,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.1876801091669187,-0.03923923961754186,2.5,4.436920824694462,1.4142135623730951
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.01,0.053665631459994964,0.75,0.5,2.0,0.081,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.1876801091669187,-0.03923923961754186,3.0000000000000004,5.324304989633355,1.6970562748477145
0.7,0.8,0.55,0.56,0.01,0.008,0.02,0.0,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1498535718913978,-0.08308886507536808,0.0,0.0,0.0
0.7,0.8,0.55,0.56,0.01,0.008,0.02,0.004427188724235731,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1498535718913978,-0.08308886507536808,0.35,0.7826237921249263,0.08324449805019048
0.7,0.8,0.55,0.56,0.01,0.008,0.02,0.006324555320336759,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1498535718913978,-0.08308886507536808,0.5,1.1180339887498947,0.11892071150027211
0.7,0.8,0.55,0.56,0.01,0.008,0.02,0.008854377448471461,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1498535718913978,-0.08308886507536808,0.7,1.5652475842498526,0.16648899610038095
0.7,0.8,0.55,0.56,0.01,0.008,0.02,0.011384199576606165,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1498535718913978,-0.08308886507536808,0.8999999999999999,2.01246117974981,0.2140572807004898
0.7,0.8,0.55,0.56,0.01,0.008,0.02,0.01391402170474087,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1498535718913978,-0.08308886507536808,1.1,2.4596747752497685,0.26162556530059866
0.7,0.8,0.55,0.56,0.01,0.008,0.02,0.016443843832875574,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1498535718913978,-0.08308886507536808,1.3,2.9068883707497264,0.30919384990070753
0.7,0.8,0.55,0.56,0.01,0.008,0.02,0.020238577025077628,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1498535718913978,-0.08308886507536808,1.6,3.577708763999663,0.3805462768008708
0.7,0.8,0.55,0.56,0.01,0.008,0.02,0.025298221281347035,0.75,0.5,2.0,0.0,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1498535718913978,-0.08308886507536808,2.0,4.472135954999579,0.47568284600108846
0.7,0.8,0.55,0.56,0.01,0.008,0.02,0.03162277660168379,0.75,0.5,2.0,0.001,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1498535718913978,-0.08308886507536808,2.5,5.590169943749473,0.5946035575013605
0.7,0.8,0.55,0.56,0.01,0.008,0.02,0.03794733192202055,0.75,0.5,2.0,0.003,1000,0.04000000000000001,0.020000000000000004,0.08000000000000002,-1.1498535718913978,-0.08308886507536808,3.0,6.708203932499368,0.7135242690016327
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.02,0.0,0.75,0.5,2.0,0.0,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.1876801091669187,-0.05923923961754187,0.0,0.0,0.0
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.02,0.00626099033699941,0.75,0.5,2.0,0.0,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.1876801091669187,-0.05923923961754187,0.35,0.6972385331902281,0.11772549813552002
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.02,0.008944271909999158,0.75,0.5,2.0,0.0,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.1876801091669187,-0.05923923961754187,0.5,0.9960550474146117,0.1681792830507429
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.02,0.01252198067399882,0.75,0.5,2.0,0.0,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.1876801091669187,-0.05923923961754187,0.7,1.3944770663804562,0.23545099627104005
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.02,0.016099689437998485,0.75,0.5,2.0,0.0,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.1876801091669187,-0.05923923961754187,0.9,1.7928990853463012,0.3027227094913372
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.02,0.01967739820199815,0.75,0.5,2.0,0.0,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.1876801091669187,-0.05923923961754187,1.1,2.191321104312146,0.3699944227116344
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.02,0.023255106965997814,0.75,0.5,2.0,0.0,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.1876801091669187,-0.05923923961754187,1.3000000000000003,2.589743123277991,0.4372661359319316
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.02,0.028621670111997306,0.75,0.5,2.0,0.0,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.1876801091669187,-0.05923923961754187,1.6,3.1873761517267574,0.5381737057623773
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.02,0.03577708763999663,0.75,0.5,2.0,0.0,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.1876801091669187,-0.05923923961754187,2.0,3.984220189658447,0.6727171322029716
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.02,0.04472135954999579,0.75,0.5,2.0,0.007,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.1876801091669187,-0.05923923961754187,2.5,4.980275237073058,0.8408964152537145
0.7,0.8,0.55,0.5700000000000001,0.02,0.016,0.02,0.05366563145999495,0.75,0.5,2.0,0.027,1000,0.06349604207872799,0.03174802103936399,0.12699208415745597,-1.1876801091669187,-0.05923923961754187,3.0,5.976330284487671,1.0090756983044575
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.02,0.0,0.75,0.5,2.0,0.0,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.234735908627536,-0.017254329596422965,0.0,0.0,0.0
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.02,0.008854377448471461,0.75,0.5,2.0,0.0,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.234735908627536,-0.017254329596422965,0.35,0.6211689154572247,0.16648899610038095
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.02,0.012649110640673518,0.75,0.5,2.0,0.0,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.234735908627536,-0.017254329596422965,0.5,0.8873841649388925,0.23784142300054423
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.02,0.017708754896942923,0.75,0.5,2.0,0.0,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.234735908627536,-0.017254329596422965,0.7,1.2423378309144495,0.3329779922007619
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.02,0.02276839915321233,0.75,0.5,2.0,0.0,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.234735908627536,-0.017254329596422965,0.8999999999999999,1.5972914968900065,0.4281145614009796
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.02,0.02782804340948174,0.75,0.5,2.0,0.0,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.234735908627536,-0.017254329596422965,1.1,1.9522451628655637,0.5232511306011973
0.7,0.8,0.55,0.5900000000000001,0.04,0.032,0.02,0.03288768766575115,0.75,0.5,2.0,0.0,1000,0.10079368399158986,0.05039684199579493,0.20158736798317972,-1.234735908627536,-0.017254329596422965,1.3,2.3071988288411207,0.6183876998014151
