epsilon,delta_I,lambda,sigma50,pred_half_scale,pred_twothirds_scale,pred_eps34_scale,sigma50_over_half,sigma50_over_twothirds,sigma50_over_eps34
0.01,0.01,0.008,,0.00894427190999916,0.004000000000000001,0.03162277660168379,,,
0.01,0.02,0.016,,0.012649110640673518,0.006349604207872799,0.03162277660168379,,,
0.01,0.04,0.032,,0.01788854381999832,0.010079368399158987,0.03162277660168379,,,
0.02,0.01,0.008,,0.012649110640673518,0.005656854249492381,0.053182958969449884,,,
0.02,0.02,0.016,,0.017888543819998316,0.008979696386474985,0.053182958969449884,,,
0.02,0.04,0.032,,0.025298221281347035,0.01425437949024543,0.053182958969449884,,,
0.04,0.01,0.008,,0.01788854381999832,0.008000000000000002,0.08944271909999159,,,
0.04,0.02,0.016,,0.025298221281347035,0.012699208415745598,0.08944271909999159,,,
0.04,0.04,0.032,,0.03577708763999664,0.020158736798317974,0.08944271909999159,,,
0.08,0.01,0.008,,0.025298221281347035,0.011313708498984762,0.15042412372345573,,,
0.08,0.02,0.016,,0.03577708763999663,0.01795939277294997,0.15042412372345573,,,
0.08,0.04,0.032,,0.05059644256269407,0.02850875898049086,0.15042412372345573,,,
