epsilon,delta_I,lambda,sigma_mult,sigma,n,p_pre_window,p_window,p_post_window,p_no_hit,p_any_hit,p_entered_window,mean_entry_count,p_multiple_entries,median_first_hit_W_ratio,scale_half,scale_twothirds,scale_eps34
0.01,0.01,0.008,0.0,0.0,1000,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0
0.01,0.01,0.008,0.5,0.00447213595499958,1000,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.5,1.1180339887498947,0.14142135623730953
0.01,0.01,0.008,1.0,0.00894427190999916,1000,0.0,0.0,0.008,0.992,0.008,1.0,1.0,0.0,0.002146433895431626,1.0,2.2360679774997894,0.28284271247461906
0.01,0.01,0.008,1.5,0.013416407864998741,1000,0.0,0.006,0.056,0.938,0.062,1.0,1.002,0.002,0.003844611902750896,1.5000000000000002,3.3541019662496843,0.4242640687119286
0.01,0.01,0.008,2.0,0.01788854381999832,1000,0.003,0.027,0.105,0.865,0.135,0.997,0.998,0.001,0.007394819634427792,2.0,4.472135954999579,0.5656854249492381
0.01,0.01,0.008,2.5,0.022360679774997897,1000,0.018,0.042,0.107,0.833,0.167,0.986,0.986,0.0,0.17017040395829244,2.5,5.590169943749473,0.7071067811865476
0.01,0.01,0.008,3.0,0.026832815729997482,1000,0.043,0.08,0.132,0.745,0.255,0.963,0.966,0.003,0.4580956839785151,3.0000000000000004,6.7082039324993685,0.8485281374238572
0.01,0.01,0.008,4.0,0.03577708763999664,1000,0.12,0.115,0.111,0.654,0.346,0.881,0.881,0.0,1.2288142032065696,4.0,8.944271909999157,1.1313708498984762
0.01,0.01,0.008,5.0,0.044721359549995794,1000,0.213,0.124,0.097,0.566,0.434,0.789,0.792,0.003,1.9405692843469327,5.0,11.180339887498945,1.4142135623730951
0.01,0.01,0.008,6.5,0.05813776741499453,1000,0.348,0.1,0.094,0.458,0.542,0.654,0.654,0.0,3.2740863673869125,6.499999999999999,14.53444185374863,1.8384776310850237
