epsilon,delta_I,lambda,sigma50_any_hit,sigma50_pre_window,sigma50_window,sigma50_post_window,sigma50_entered_window,pred_half_scale,pred_twothirds_scale,pred_eps34_scale,sigma50_any_hit_over_half,sigma50_any_hit_over_twothirds,sigma50_any_hit_over_eps34,sigma50_pre_window_over_half,sigma50_pre_window_over_twothirds,sigma50_pre_window_over_eps34,sigma50_window_over_half,sigma50_window_over_twothirds,sigma50_window_over_eps34,sigma50_post_window_over_half,sigma50_post_window_over_twothirds,sigma50_post_window_over_eps34,sigma50_entered_window_over_half,sigma50_entered_window_over_twothirds,sigma50_entered_window_over_eps34
0.01,0.01,0.008,0.05292027546749502,,,,0.0,0.00894427190999916,0.004000000000000001,0.03162277660168379,5.916666666666665,13.23006886687375,1.6734860488081624,,,,,,,,,,0.0,0.0,0.0
0.01,0.02,0.016,0.0510134462101888,0.09653571257132197,,,0.09657766908081807,0.012649110640673518,0.006349604207872799,0.03162277660168379,4.032967032967033,8.034114338487088,1.6131868131868132,7.631818181818181,15.203422041901208,3.0527272727272727,,,,,,,7.635135135135134,15.21002977808799,3.054054054054054
0.01,0.04,0.032,0.05456649337898768,0.10712445894519224,,,0.10712445894519224,0.01788854381999832,0.010079368399158987,0.03162277660168379,3.050359712230216,5.413681812001301,1.7255440300609854,5.988439306358381,10.628092426320144,3.3875728338000615,,,,,,,5.988439306358381,10.628092426320144,3.3875728338000615
0.02,0.01,0.008,0.08884210256586259,,,,0.0,0.012649110640673518,0.005656854249492381,0.053182958969449884,7.023584905660377,15.70521329479805,1.6704994285274073,,,,,,,,,,0.0,0.0,0.0
0.02,0.02,0.016,0.08864767270799165,,,,0.0,0.017888543819998316,0.008979696386474985,0.053182958969449884,4.955555555555556,9.872012247709263,1.6668435609029184,,,,,,,,,,0.0,0.0,0.0
0.02,0.04,0.032,0.09252911071396791,0.16367949169031532,,,0.1639290781687286,0.025298221281347035,0.01425437949024543,0.053182958969449884,3.657534246575342,6.491275946265322,1.7398262997574054,6.47,11.482751094309268,3.0776680136270422,,,,,,,6.47986577181208,11.500260553671149,3.0823609920406096
0.04,0.01,0.008,,,,,0.0,0.01788854381999832,0.008000000000000002,0.08944271909999159,,,,,,,,,,,,,0.0,0.0,0.0
0.04,0.02,0.016,0.1556506351468141,,,,0.0,0.025298221281347035,0.012699208415745598,0.08944271909999159,6.152631578947367,12.256719478186115,1.7402270046464714,,,,,,,,,,0.0,0.0,0.0
0.04,0.04,0.032,0.14310835055998655,0.2612133955533845,,,0.26182323227452087,0.03577708763999664,0.020158736798317974,0.08944271909999159,4.0,7.09907331951114,1.6,7.301136363636363,12.957825590300873,2.9204545454545454,,,,,,,7.318181818181818,12.988077323196519,2.9272727272727277
0.08,0.01,0.008,,,,,0.0,0.025298221281347035,0.011313708498984762,0.15042412372345573,,,,,,,,,,,,,0.0,0.0,0.0
0.08,0.02,0.016,0.23661664780088681,,,,0.0,0.03577708763999663,0.01795939277294997,0.15042412372345573,6.613636363636363,13.175091763529636,1.5729966839354175,,,,,,,,,,0.0,0.0,0.0
0.08,0.04,0.032,0.23988666297371422,,,,0.0,0.05059644256269407,0.02850875898049086,0.15042412372345573,4.741176470588235,8.414489846361732,1.5947353192811622,,,,,,,,,,0.0,0.0,0.0
