epsilon,delta_I,lambda,sigma_mult,sigma,n,p_any_hit,p_narrow_hit,p_broad_hit,p_no_hit,p_R_0p0_to_0p1,p_R_0p1_to_0p5,p_R_0p5_to_2p0,p_R_2p0_to_4p0,p_R_4p0_to_inf,p_entered_narrow,p_entered_broad,p_multi_narrow,p_multi_broad,median_hit_R,q25_hit_R,q75_hit_R,scale_half,scale_twothirds,scale_eps34
0.01,0.01,0.008,0.0,0.0,1000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,0.0
0.01,0.01,0.008,0.5,0.00447213595499958,1000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,0.5,1.1180339887498947,0.14142135623730953
0.01,0.01,0.008,1.0,0.00894427190999916,1000,0.008,0.0,0.0,0.992,0.008,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.002146433895431626,0.001347850212627171,0.00322813942252718,1.0,2.2360679774997894,0.28284271247461906
0.01,0.01,0.008,1.5,0.013416407864998741,1000,0.062,0.006,0.018,0.938,0.044,0.012,0.006,0.0,0.0,1.0,1.0,0.002,0.0,0.003844611902750896,0.001265495819815557,0.11616728182395913,1.5000000000000002,3.3541019662496843,0.4242640687119286
0.01,0.01,0.008,2.0,0.01788854381999832,1000,0.135,0.027,0.055,0.865,0.08,0.025,0.027,0.003,0.0,0.997,1.0,0.001,0.0,0.007394819634427792,0.0020795532027424605,0.4142519254308049,2.0,4.472135954999579,0.5656854249492381
0.01,0.01,0.008,2.5,0.022360679774997897,1000,0.167,0.042,0.094,0.833,0.071,0.036,0.042,0.016,0.002,0.986,0.999,0.0,0.002,0.17017040395829244,0.003665545487278339,0.8318816811493628,2.5,5.590169943749473,0.7071067811865476
0.01,0.01,0.008,3.0,0.026832815729997482,1000,0.255,0.08,0.152,0.745,0.095,0.037,0.08,0.035,0.008,0.963,0.994,0.003,0.003,0.4580956839785151,0.004709428906947441,1.344496236450997,3.0000000000000004,6.7082039324993685,0.8485281374238572
0.01,0.01,0.008,4.0,0.03577708763999664,1000,0.346,0.115,0.237,0.654,0.071,0.04,0.115,0.082,0.038,0.881,0.967,0.0,0.003,1.2288142032065696,0.2015619269671302,2.5906259692808664,4.0,8.944271909999157,1.1313708498984762
0.01,0.01,0.008,5.0,0.044721359549995794,1000,0.434,0.124,0.266,0.566,0.055,0.042,0.124,0.1,0.113,0.789,0.89,0.003,0.003,1.9405692843469327,0.6928773881627348,4.16591244638718,5.0,11.180339887498945,1.4142135623730951
0.01,0.01,0.008,6.5,0.05813776741499453,1000,0.542,0.1,0.272,0.458,0.055,0.039,0.1,0.133,0.215,0.654,0.789,0.0,0.001,3.2740863673869125,1.1648758958498038,5.2635390931297215,6.499999999999999,14.53444185374863,1.8384776310850237
