epsilon,delta_I,lambda,sigma50_any_hit,sigma50_broad_hit,sigma50_narrow_hit,sigma50_R_0p0_to_0p1,sigma50_R_0p1_to_0p5,sigma50_R_0p5_to_2p0,sigma50_R_2p0_to_4p0,sigma50_R_4p0_to_inf,pred_half_scale,pred_twothirds_scale,pred_eps34_scale,sigma50_any_hit_over_half,sigma50_any_hit_over_twothirds,sigma50_any_hit_over_eps34,sigma50_broad_hit_over_half,sigma50_broad_hit_over_twothirds,sigma50_broad_hit_over_eps34,sigma50_narrow_hit_over_half,sigma50_narrow_hit_over_twothirds,sigma50_narrow_hit_over_eps34,sigma50_R_0p0_to_0p1_over_half,sigma50_R_0p0_to_0p1_over_twothirds,sigma50_R_0p0_to_0p1_over_eps34,sigma50_R_0p1_to_0p5_over_half,sigma50_R_0p1_to_0p5_over_twothirds,sigma50_R_0p1_to_0p5_over_eps34,sigma50_R_0p5_to_2p0_over_half,sigma50_R_0p5_to_2p0_over_twothirds,sigma50_R_0p5_to_2p0_over_eps34,sigma50_R_2p0_to_4p0_over_half,sigma50_R_2p0_to_4p0_over_twothirds,sigma50_R_2p0_to_4p0_over_eps34,sigma50_R_4p0_to_inf_over_half,sigma50_R_4p0_to_inf_over_twothirds,sigma50_R_4p0_to_inf_over_eps34
0.01,0.01,0.008,0.05292027546749502,,,,,,,,0.00894427190999916,0.004000000000000001,0.03162277660168379,5.916666666666665,13.23006886687375,1.6734860488081624,,,,,,,,,,,,,,,,,,,,,
0.01,0.02,0.016,0.0510134462101888,,,,,,,,0.012649110640673518,0.006349604207872799,0.03162277660168379,4.032967032967033,8.034114338487088,1.6131868131868132,,,,,,,,,,,,,,,,,,,,,
0.01,0.04,0.032,0.05456649337898768,,,,,,,,0.01788854381999832,0.010079368399158987,0.03162277660168379,3.050359712230216,5.413681812001301,1.7255440300609854,,,,,,,,,,,,,,,,,,,,,
0.02,0.01,0.008,0.08884210256586259,,,,,,,,0.012649110640673518,0.005656854249492381,0.053182958969449884,7.023584905660377,15.70521329479805,1.6704994285274073,,,,,,,,,,,,,,,,,,,,,
0.02,0.02,0.016,0.08864767270799165,,,,,,,,0.017888543819998316,0.008979696386474985,0.053182958969449884,4.955555555555556,9.872012247709263,1.6668435609029184,,,,,,,,,,,,,,,,,,,,,
0.02,0.04,0.032,0.09252911071396791,,,,,,,,0.025298221281347035,0.01425437949024543,0.053182958969449884,3.657534246575342,6.491275946265322,1.7398262997574054,,,,,,,,,,,,,,,,,,,,,
0.04,0.01,0.008,,,,,,,,,0.01788854381999832,0.008000000000000002,0.08944271909999159,,,,,,,,,,,,,,,,,,,,,,,,
0.04,0.02,0.016,0.1556506351468141,,,,,,,,0.025298221281347035,0.012699208415745598,0.08944271909999159,6.152631578947367,12.256719478186115,1.7402270046464714,,,,,,,,,,,,,,,,,,,,,
0.04,0.04,0.032,0.14310835055998655,,,,,,,,0.03577708763999664,0.020158736798317974,0.08944271909999159,4.0,7.09907331951114,1.6,,,,,,,,,,,,,,,,,,,,,
0.08,0.01,0.008,,,,,,,,,0.025298221281347035,0.011313708498984762,0.15042412372345573,,,,,,,,,,,,,,,,,,,,,,,,
0.08,0.02,0.016,0.23661664780088681,,,,,,,,0.03577708763999663,0.01795939277294997,0.15042412372345573,6.613636363636363,13.175091763529636,1.5729966839354175,,,,,,,,,,,,,,,,,,,,,
0.08,0.04,0.032,0.23988666297371422,,,,,,,,0.05059644256269407,0.02850875898049086,0.15042412372345573,4.741176470588235,8.414489846361732,1.5947353192811622,,,,,,,,,,,,,,,,,,,,,
