path,hit,hit_t,hit_V,hit_W,sigma_mult,sigma,lambda,epsilon,I,w_fold,W_star,window_lo_W,window_hi_W,q
0,False,,,,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
1,False,,,,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
2,False,,,,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
3,False,,,,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
4,False,,,,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
5,False,,,,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
6,False,,,,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
7,False,,,,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
0,False,,,,1.0,0.017888543819998316,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
1,False,,,,1.0,0.017888543819998316,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
2,False,,,,1.0,0.017888543819998316,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
3,False,,,,1.0,0.017888543819998316,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
4,False,,,,1.0,0.017888543819998316,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
5,False,,,,1.0,0.017888543819998316,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
6,False,,,,1.0,0.017888543819998316,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
7,False,,,,1.0,0.017888543819998316,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
0,False,,,,2.2,0.0393547964039963,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
1,True,0.671,1.991102576953527,0.03298838968167275,2.2,0.0393547964039963,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
2,True,0.625,0.8565965784705374,0.03221543179039673,2.2,0.0393547964039963,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
3,True,0.4988,1.4461741747711632,0.03191900424138231,2.2,0.0393547964039963,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
4,True,0.4092,0.6272213147135935,0.031779276286728546,2.2,0.0393547964039963,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
5,True,0.5174,0.9500922446587537,0.031825259377249046,2.2,0.0393547964039963,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
6,True,0.462,0.666699980786757,0.03211324046175257,2.2,0.0393547964039963,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
7,True,0.2746,0.22434996569050092,0.031844477429267146,2.2,0.0393547964039963,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
0,False,,,,3.0,0.05366563145999495,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
1,False,,,,3.0,0.05366563145999495,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
2,False,,,,3.0,0.05366563145999495,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
3,False,,,,3.0,0.05366563145999495,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
4,False,,,,3.0,0.05366563145999495,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
5,False,,,,3.0,0.05366563145999495,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
6,False,,,,3.0,0.05366563145999495,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
7,True,0.2328,0.1578636899340259,0.04275875952422673,3.0,0.05366563145999495,0.016,0.02,0.3116666666666666,-0.35500000000000004,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.75
