path,t,v,w,V_blow,W_blow,hit,sigma_mult,sigma,lambda,epsilon,I,w_fold
0,0.0,-1.1876801091669187,-0.3175725729508753,-0.6914194338391947,0.5079683366298241,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
1,0.0,-1.1876801091669187,-0.3175725729508753,-0.6914194338391947,0.5079683366298241,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
2,0.0,-1.1876801091669187,-0.3175725729508753,-0.6914194338391947,0.5079683366298241,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
3,0.0,-1.1876801091669187,-0.3175725729508753,-0.6914194338391947,0.5079683366298241,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
4,0.0,-1.1876801091669187,-0.3175725729508753,-0.6914194338391947,0.5079683366298241,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
5,0.0,-1.1876801091669187,-0.3175725729508753,-0.6914194338391947,0.5079683366298241,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
6,0.0,-1.1876801091669187,-0.3175725729508753,-0.6914194338391947,0.5079683366298241,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
7,0.0,-1.1876801091669187,-0.3175725729508753,-0.6914194338391947,0.5079683366298241,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
0,0.0002,-1.1876801091669187,-0.31761929736103656,-0.6914194338391947,0.5073341888194908,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
1,0.0002,-1.1876801091669187,-0.31761929736103656,-0.6914194338391947,0.5073341888194908,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
2,0.0002,-1.1876801091669187,-0.31761929736103656,-0.6914194338391947,0.5073341888194908,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
3,0.0002,-1.1876801091669187,-0.31761929736103656,-0.6914194338391947,0.5073341888194908,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
4,0.0002,-1.1876801091669187,-0.31761929736103656,-0.6914194338391947,0.5073341888194908,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
5,0.0002,-1.1876801091669187,-0.31761929736103656,-0.6914194338391947,0.5073341888194908,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
6,0.0002,-1.1876801091669187,-0.31761929736103656,-0.6914194338391947,0.5073341888194908,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
7,0.0002,-1.1876801091669187,-0.31761929736103656,-0.6914194338391947,0.5073341888194908,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
0,0.0004,-1.187679641922817,-0.3176660142952922,-0.6914177124972067,0.506700142472807,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
1,0.0004,-1.187679641922817,-0.3176660142952922,-0.6914177124972067,0.506700142472807,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
2,0.0004,-1.187679641922817,-0.3176660142952922,-0.6914177124972067,0.506700142472807,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
3,0.0004,-1.187679641922817,-0.3176660142952922,-0.6914177124972067,0.506700142472807,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
4,0.0004,-1.187679641922817,-0.3176660142952922,-0.6914177124972067,0.506700142472807,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
5,0.0004,-1.187679641922817,-0.3176660142952922,-0.6914177124972067,0.506700142472807,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
6,0.0004,-1.187679641922817,-0.3176660142952922,-0.6914177124972067,0.506700142472807,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
7,0.0004,-1.187679641922817,-0.3176660142952922,-0.6914177124972067,0.506700142472807,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
0,0.0006000000000000001,-1.1876787094278,-0.3177127236613895,-0.6914142771561919,0.5060661988418346,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
1,0.0006000000000000001,-1.1876787094278,-0.3177127236613895,-0.6914142771561919,0.5060661988418346,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
2,0.0006000000000000001,-1.1876787094278,-0.3177127236613895,-0.6914142771561919,0.5060661988418346,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
3,0.0006000000000000001,-1.1876787094278,-0.3177127236613895,-0.6914142771561919,0.5060661988418346,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
4,0.0006000000000000001,-1.1876787094278,-0.3177127236613895,-0.6914142771561919,0.5060661988418346,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
5,0.0006000000000000001,-1.1876787094278,-0.3177127236613895,-0.6914142771561919,0.5060661988418346,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
6,0.0006000000000000001,-1.1876787094278,-0.3177127236613895,-0.6914142771561919,0.5060661988418346,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
7,0.0006000000000000001,-1.1876787094278,-0.3177127236613895,-0.6914142771561919,0.5060661988418346,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
0,0.0008,-1.1876773136677772,-0.3177594253674892,-0.691409135132303,0.5054323591730241,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
1,0.0008,-1.1876773136677772,-0.3177594253674892,-0.691409135132303,0.5054323591730241,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
2,0.0008,-1.1876773136677772,-0.3177594253674892,-0.691409135132303,0.5054323591730241,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
3,0.0008,-1.1876773136677772,-0.3177594253674892,-0.691409135132303,0.5054323591730241,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
4,0.0008,-1.1876773136677772,-0.3177594253674892,-0.691409135132303,0.5054323591730241,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
5,0.0008,-1.1876773136677772,-0.3177594253674892,-0.691409135132303,0.5054323591730241,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
6,0.0008,-1.1876773136677772,-0.3177594253674892,-0.691409135132303,0.5054323591730241,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
7,0.0008,-1.1876773136677772,-0.3177594253674892,-0.691409135132303,0.5054323591730241,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
0,0.001,-1.1876754566213916,-0.31780611932216396,-0.6914022937149241,0.5047986247072357,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
1,0.001,-1.1876754566213916,-0.31780611932216396,-0.6914022937149241,0.5047986247072357,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
2,0.001,-1.1876754566213916,-0.31780611932216396,-0.6914022937149241,0.5047986247072357,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
3,0.001,-1.1876754566213916,-0.31780611932216396,-0.6914022937149241,0.5047986247072357,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
4,0.001,-1.1876754566213916,-0.31780611932216396,-0.6914022937149241,0.5047986247072357,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
5,0.001,-1.1876754566213916,-0.31780611932216396,-0.6914022937149241,0.5047986247072357,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
6,0.001,-1.1876754566213916,-0.31780611932216396,-0.6914022937149241,0.5047986247072357,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
7,0.001,-1.1876754566213916,-0.31780611932216396,-0.6914022937149241,0.5047986247072357,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
0,0.0012000000000000001,-1.1876731402600311,-0.3178528054343967,-0.6913937601667098,0.5041649966797612,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
1,0.0012000000000000001,-1.1876731402600311,-0.3178528054343967,-0.6913937601667098,0.5041649966797612,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
2,0.0012000000000000001,-1.1876731402600311,-0.3178528054343967,-0.6913937601667098,0.5041649966797612,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
3,0.0012000000000000001,-1.1876731402600311,-0.3178528054343967,-0.6913937601667098,0.5041649966797612,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
4,0.0012000000000000001,-1.1876731402600311,-0.3178528054343967,-0.6913937601667098,0.5041649966797612,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
5,0.0012000000000000001,-1.1876731402600311,-0.3178528054343967,-0.6913937601667098,0.5041649966797612,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
6,0.0012000000000000001,-1.1876731402600311,-0.3178528054343967,-0.6913937601667098,0.5041649966797612,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
7,0.0012000000000000001,-1.1876731402600311,-0.3178528054343967,-0.6913937601667098,0.5041649966797612,False,0.0,0.0,0.016,0.02,0.3116666666666666,-0.35500000000000004
